Title,URL,latitude,longitude,Type
Selfridges,"https://www.google.com/maps/place/Selfridges/@51.5144233,-0.152767,16z/data=!3m1!5s0x48761ad52b77a0b5:0x27cde0f6e93dbb86!4m14!1m7!3m6!1s0x4876052d5803490d:0x811f22bae26bbdbe!2sSelfridges!8m2!3d51.5144233!4d-0.152767!16s%2Fm%2F0pdb059!3m5!1s0x4876052d5803490d:0x811f22bae26bbdbe!8m2!3d51.5144233!4d-0.152767!16s%2Fm%2F0pdb059?entry=ttu&g_ep=EgoyMDI2MDUxMy4wIKXMDSoASAFQAw%3D%3D",51.5144233,-0.152767,Digital
Cherry Pick Vintage,"https://www.google.com/maps/place/Cherry+Pick+Vintage/@49.2639238,-123.1674198,17z/data=!4m14!1m7!3m6!1s0x548673978a78c8cf:0x9a76934dce594bd6!2sCherry+Pick+Vintage!8m2!3d49.2639238!4d-123.1674198!16s%2Fg%2F11v679g3g1!3m5!1s0x548673978a78c8cf:0x9a76934dce594bd6!8m2!3d49.2639238!4d-123.1674198!16s%2Fg%2F11v679g3g1?entry=ttu&g_ep=EgoyMDI2MDUxMy4wIKXMDSoASAFQAw%3D%3D",49.2639238,-123.1674198,Vintage
Emerald Eye,"https://www.google.com/maps/place/Emerald+Eye/@39.747615,-104.9998303,17z/data=!4m14!1m7!3m6!1s0x876c79cab31c0f3f:0x7359cfa5b253595d!2sEmerald+Eye!8m2!3d39.747615!4d-104.9998303!16s%2Fg%2F11kj4jyk43!3m5!1s0x876c79cab31c0f3f:0x7359cfa5b253595d!8m2!3d39.747615!4d-104.9998303!16s%2Fg%2F11kj4jyk43?entry=ttu&g_ep=EgoyMDI2MDUxMy4wIKXMDSoASAFQAw%3D%3D",39.747615,-104.9998303,Vintage
Bonded,"https://www.google.com/maps/place/Bonded/@39.7595468,-104.9838046,17z/data=!4m14!1m7!3m6!1s0x876c791f91deaaab:0x9b297ebc5181c178!2sBonded!8m2!3d39.7595468!4d-104.9838046!16s%2Fg%2F11hc_1f556!3m5!1s0x876c791f91deaaab:0x9b297ebc5181c178!8m2!3d39.7595468!4d-104.9838046!16s%2Fg%2F11hc_1f556?entry=ttu&g_ep=EgoyMDI2MDUxMy4wIKXMDSoASAFQAw%3D%3D",39.7595468,-104.9838046,Vintage
The Mission Ballroom,"https://www.google.com/maps/place/The+Mission+Ballroom/@39.776204,-104.969168,17z/data=!4m14!1m7!3m6!1s0x876c797fdd5f3937:0xb7d629fe1b3fe515!2sThe+Mission+Ballroom!8m2!3d39.776204!4d-104.969168!16s%2Fg%2F11fpghj81n!3m5!1s0x876c797fdd5f3937:0xb7d629fe1b3fe515!8m2!3d39.776204!4d-104.969168!16s%2Fg%2F11fpghj81n?entry=ttu&g_ep=EgoyMDI2MDUxMy4wIKXMDSoASAFQAw%3D%3D",39.776204,-104.969168,Vintage
The Front Porch,"https://www.google.com/maps/place/The+Front+Porch/@39.7479354,-104.9979006,16z/data=!4m14!1m7!3m6!1s0x876c78c52446d86d:0xf6d362b341f5c783!2sThe+Front+Porch!8m2!3d39.7479354!4d-104.9979006!16s%2Fg%2F11cltq11bn!3m5!1s0x876c78c52446d86d:0xf6d362b341f5c783!8m2!3d39.7479354!4d-104.9979006!16s%2Fg%2F11cltq11bn?entry=ttu&g_ep=EgoyMDI2MDUxMy4wIKXMDSoASAFQAw%3D%3D",39.7479354,-104.9979006,Vintage
Squire Lounge,"https://www.google.com/maps/place/Squire+Lounge/@39.739848,-104.96578,17z/data=!3m1!4b1!4m6!3m5!1s0x876c7ecb22e27cdd:0x80badbcf4b7d06ae!8m2!3d39.739848!4d-104.96578!16s%2Fg%2F1tgwbd9n?entry=ttu&g_ep=EgoyMDI2MDUxMy4wIKXMDSoASAFQAw%3D%3D",39.739848,-104.96578,Vintage
Gold Point,"https://www.google.com/maps/place/Gold+Point/@39.7635194,-104.9786333,16z/data=!4m14!1m7!3m6!1s0x876c7919411ce183:0xace842569f3db042!2sGold+Point!8m2!3d39.7635194!4d-104.9786333!16s%2Fg%2F11b8tctj48!3m5!1s0x876c7919411ce183:0xace842569f3db042!8m2!3d39.7635194!4d-104.9786333!16s%2Fg%2F11b8tctj48?entry=ttu&g_ep=EgoyMDI2MDUxMy4wIKXMDSoASAFQAw%3D%3D",39.7635194,-104.9786333,Vintage
Colorado Photographic Arts Center,"https://www.google.com/maps/place/Colorado+Photographic+Arts+Center/@39.7354121,-104.9856483,17z/data=!3m1!4b1!4m6!3m5!1s0x876c7894f3e693b5:0xa414e50e05cafc1f!8m2!3d39.7354121!4d-104.9856483!16s%2Fg%2F1pp2vkr4n?entry=ttu&g_ep=EgoyMDI2MDUxMy4wIKXMDSoASAFQAw%3D%3D",39.7354121,-104.9856483,Vintage
Hi-Dive,"https://www.google.com/maps/place/Hi-Dive/@39.7163467,-104.9877853,17z/data=!3m1!4b1!4m6!3m5!1s0x876c7f1fbc11b90b:0xb3131cedbca225fb!8m2!3d39.7163467!4d-104.9877853!16s%2Fm%2F0k0506h?entry=ttu&g_ep=EgoyMDI2MDUxMy4wIKXMDSoASAFQAw%3D%3D",39.7163467,-104.9877853,Vintage
